PCode,REGION,DISTRICT,Code_CSREF,STRUCTURE,PCODE2,TYPE,DATE OUVERTURE,NBRE VILLAGE,DISTANCE,ACCESSIBILITE,Source,obs,Longitude,Latitude
ML08R06C013,BAMAKO,COMMUNE6,ML08R06,ASACOSODIA,ML08R06C013,CSCOM,1-Mar-1999,2,2,OUI,OMS Survey,,-7.94515,12.60832
ML08R03C008,BAMAKO,COMMUNE3,ML08R03,ASACOTOM,ML08R03C008,CSCOM,1-Jan-1994,4,6,OUI,OMS Survey,,-8.0133,12.65184
ML08R05C011,BAMAKO,COMMUNE5,ML08R05,ASACOTOQUA,ML08R05C011,CSCOM,15-Dec-1997,1,9,OUI,OMS Survey,,-7.99502,12.6039
ML08R06C014,BAMAKO,COMMUNE6,ML08R06,ASACOYIR,ML08R06C014,CSCOM,1-Sep-1997,1,10,OUI,OMS Survey,,-7.92582,12.60395
ML08R06C005,BAMAKO,COMMUNE6,ML08R06,ASACP0A,ML08R06C005,CSCOM,1-Jan-2001,1,2,OUI,OMS Survey,,-7.94225,12.59049
ML08R06C006,BAMAKO,COMMUNE6,ML08R06,ASACP0A II,ML08R06C006,CSCOM,3-Mar-1992,2,2,OUI,OMS Survey,,-7.927,12.58785
ML08R01C007,BAMAKO,COMMUNE1,ML08R01,ASACP0ADJI,ML08R01C007,CSCOM,1-Jan-1994,4,3,OUI,OMS Survey,,-7.94218,12.67655
ML02R06C007,KOULIKORO,KATI,ML02R06,ASAKKOUL,ML02R06C007,CSCOM,1-Jan-2011,1,30,OUI,OMS Survey,,-8.016705,12.55006139
,BAMAKO,COMMUNE3,,ASCOM,0,CSCOM,,,,,Cluster Nutrition,,,
ML08R05C012,BAMAKO,COMMUNE5,ML08R05,ASCOMBACODJI,ML08R05C012,CSCOM,1-Mar-1993,7,4,OUI,OMS Survey,,-8.01489,12.58591
ML02R06C008,KOULIKORO,KATI,ML02R06,ASCOMKA,ML02R06C008,CSCOM,1-Jan-1993,1,1,OUI,OMS Survey,,-7.96408,12.72017
ML05R01C001,MOPTI,MOPTI,ML05R01,ASCOTAMB,ML05R01C001,CSCOM,1-Oct-1994,3,1,OUI,OMS Survey,,-4.169469163,14.51256347
ML09R03C001,KIDAL,TESSALIT,ML09R03,ASSEKHAT (ADEL - HOC),ML09R03C001,CSCOM,1-Jan-2001,13,100,NON,OMS Survey,,0.854822,19.446358
ML06R01C005,TOMBOUCTOU,TOMBOUCTOU,ML06R01,ASSIDI,ML06R01C005,CSCOM,1-Aug-1999,1,15,OUI,OMS Survey,,-2.413055,16.86055336
ML06R05C003,TOMBOUCTOU,NIAFUNKE,ML06R05,ATTARA,ML06R05C003,CSCOM,1-Feb-2003,3,24,OUI,OMS Survey,,-4.350994649,15.65969235
ML01R06C001,KAYES,NIORO,ML01R06,AWOINY,ML01R06C001,CSCOM,28-Feb-2001,7,7,OUI,OMS Survey,,-9.52366,15.15438
ML02R09C002,KOULIKORO,OUELESSEBOUGOU,ML02R09,BAALA,ML02R09C002,CSCOM,1-Feb-1999,8,90,NON,OMS Survey,,-8.03485,12.2164
ML04R05C001,SEGOU,MARKALA,ML04R05,BABOUGOU,ML04R05C001,CSCOM,19-Apr-1996,8,0,OUI,OMS Survey,,-5.67674,13.78417
ML01R05C001,KAYES,KITA,ML01R05,BADINKO,ML01R05C001,CSCOM,1-Mar-1985,5,35,OUI,OMS Survey,,-9.11969,13.10655
ML03R08C001,SIKASSO,YANFOLILA,ML03R08,BADOGO,ML03R08C001,CSCOM,21-Sep-2006,1,20,OUI,OMS Survey,,-8.215,11.03
ML01R01C004,KAYES,KAYES,ML01R01,BAFARARA,ML01R01C004,CSCOM,23-Apr-1998,5,150,OUI,OMS Survey,,-11.47341278,15.37455485
ML01R02C001,KAYES,BAFOULABE,ML01R02,BAFOULABE CENTRAL,ML01R02C001,CSCOM,13-May-2005,22,0,NON,OMS Survey,,-10.83229541,13.8034226
ML01R02C000,KAYES,BAFOULABE,ML01R02,BAFOULABE CSREF,ML01R02C000,CSRef,1-Apr-2004,0,150,,OMS Survey,,-10.83229541,13.8034226
ML04R01C001,SEGOU,SEGOU,ML04R01,BAGADADJI SUD,ML04R01C001,CSCOM,13-Jul-2009,3,8,NON,OMS Survey,,-6.270850833,13.42768856
ML07R01C002,GAO,GAO,ML07R01,BAGNADJI,ML07R01C002,CSCOM,3-Feb-2007,9,95,OUI,OMS Survey,,-0.14557,16.6373
ML02R06C009,KOULIKORO,KATI,ML02R06,BAGUINEDA,ML02R06C009,CSCOM,1-Jan-2001,24,60,OUI,OMS Survey,,-7.775298027,12.61229685
ML07R03C003,GAO,BOUREM,ML07R03,BAHONDO,ML07R03C003,CSCOM,27-Jul-2006,3,156,OUI,OMS Survey,,-1.436568146,16.98336323
